timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200428T0800,12.61507,87.0,1008.3,0.0,0.0,100.0,100.0,100.0,100.0,0.0,55.18,33.267845,21.912153,0.02304,0.028586471,53.0,7.5599995,3.996,233.1301,6.9153743,218.65982,7.9036193,239.93141,31.981293,238.81503,50.27255,201.42046,37.064266,187.81529,14.14,5.06,-3.64,13.16,12.830017,0.249,1.8148603
20200428T0900,12.63507,90.0,1008.6,0.9,0.0,100.0,100.0,100.0,100.0,0.0,89.0,12.4314575,76.56854,0.05472,0.052361883,90.0,6.4799995,4.212154,251.56506,6.696387,233.74615,6.5693827,260.5377,27.70831,245.43283,49.267418,206.00334,36.509396,192.52881,14.14,5.11,-3.83,13.03,12.790009,0.252,1.3978958
20200428T1000,12.74507,91.0,1008.9,0.9,0.0,100.0,100.0,100.0,100.0,0.0,101.46,3.4100113,98.04999,0.07488,0.06306337,205.0,6.4799995,4.5366287,266.63354,6.439876,243.43495,5.771239,266.42368,23.000591,252.69946,49.268734,211.25095,36.910095,200.55605,14.23,5.06,-3.87,13.25,12.77002,0.262,1.2672606
20200428T1100,13.07507,91.0,1008.7,1.3,0.0,100.0,100.0,100.0,100.0,0.0,132.61,3.9369354,128.67307,0.09072,0.08016682,281.0,8.28,4.7952,270.0,6.6087217,240.64226,4.896529,252.89728,18.888851,262.3332,49.226624,214.27115,39.28456,206.09543,14.43,4.91,-3.7,14.38,12.820007,0.272,1.2950897
20200428T1200,13.24507,87.0,1008.9,1.3,0.0,100.0,35.0,100.0,100.0,0.0,174.44,5.840866,168.59914,0.1224,0.104018584,182.0,9.36,5.0615997,270.0,7.289445,237.09476,6.28713,246.37064,16.575644,272.48956,48.525276,213.80797,41.23061,208.13135,14.57,4.77,-3.8,14.64,12.910004,0.281,1.8916941
20200428T1300,13.07507,87.0,1009.2,1.4,0.0,100.0,34.0,100.0,100.0,0.0,165.54,3.879593,161.6604,0.12384,0.10068972,143.0,9.36,5.334656,267.1376,7.42159,230.90614,7.289445,237.09476,14.917212,278.32565,44.576084,211.12247,41.866932,207.66676,14.46,4.56,-4.08,13.82,12.959991,0.291,1.8706856
20200428T1400,13.43507,81.0,1009.1,0.6,0.0,100.0,37.0,100.0,100.0,0.0,245.64,-5.7099915,251.34999,0.18288,0.14313203,74.0,5.7599998,5.4919763,247.16635,10.182337,225.0,10.233123,230.7106,9.028754,246.50143,25.199997,233.1301,46.568195,204.18736,14.6,4.95,-4.42,15.26,12.179993,0.29,2.79945
20200428T1500,13.74507,79.0,1009.2,0.3,0.0,100.0,36.0,92.0,100.0,0.0,278.57,18.624603,259.9454,0.19872,0.1621642,100.0,3.96,3.9603205,222.2737,6.6087217,209.35776,7.289445,212.90524,10.365251,249.67686,21.142147,227.07004,38.82162,198.93901,14.89,5.07,-4.38,15.74,12.23,0.284,3.1575718
20200428T1600,13.78507,81.0,1009.0,0.4,0.0,100.0,73.0,100.0,100.0,0.0,242.08,12.100906,229.9791,0.1872,0.14162874,125.0,5.04,4.9121733,220.6013,8.089993,200.85446,8.557102,202.24902,9.085988,236.30994,22.9724,237.80426,37.63679,201.90318,15.08,5.32,-4.2,15.16,12.25,0.282,2.8643284
20200428T1700,13.84507,80.0,1009.2,0.3,0.0,100.0,99.0,100.0,100.0,0.0,207.37,16.379501,190.9905,0.16992,0.123818174,144.0,6.8399997,5.651197,225.0,9.693296,211.32869,10.1887,212.00539,10.464797,229.18492,24.819122,246.0375,38.01198,208.264,15.22,5.37,-4.19,14.65,12.25,0.281,3.0269299
20200428T1800,13.77507,81.0,1009.0,0.2,0.0,100.0,31.0,100.0,100.0,0.0,174.44,29.870514,144.56949,0.1512,0.10429083,173.0,7.5599995,5.842608,226.84761,10.514218,218.04704,11.019764,218.3675,11.966954,226.21889,25.959969,250.55997,38.45939,215.47534,15.23,5.36,-4.09,14.23,12.22,0.279,2.862461
