timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Gust
20200320T1200,14.503722,63.0,1020.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,566.93,3.5840454,41.987198,5.1165614,39.2894,8.473393,257.73523,3.96
20200320T1300,15.963722,55.0,1019.6,0.0,0.0,9.0,0.0,0.0,9.0,54.255318,648.81,2.8318708,48.81407,3.8268526,41.18593,6.130579,266.63354,3.6
20200320T1400,17.173721,48.0,1019.5,0.0,0.0,74.0,0.0,3.0,74.0,12.765956,674.62,3.0374274,52.125,4.3349743,41.63353,3.0758414,290.55603,4.32
20200320T1500,17.153723,46.0,1019.1,0.0,0.0,10.0,0.0,5.0,10.0,53.61702,508.19,2.9784427,206.56505,3.7064266,209.05461,3.7585104,253.30075,5.04
20200320T1600,17.833721,44.0,1018.8,0.0,0.0,10.0,0.0,5.0,10.0,53.61702,517.98,2.2916594,144.46231,2.6208394,164.0546,0.71999997,180.0,7.2
20200320T1700,17.533722,46.0,1018.0,0.0,0.0,49.0,2.0,49.0,49.0,28.723406,448.56,4.9121733,130.60129,6.1305785,139.76364,3.6,126.869896,9.36
20200320T1800,16.533722,50.0,1018.1,0.0,0.0,100.0,0.0,100.0,45.0,0.0,215.37999,6.354631,123.023865,8.669949,138.36646,5.315336,118.30075,11.5199995
20200320T1900,15.963722,55.0,1018.4,0.0,0.0,3.0,0.0,3.0,0.0,58.085106,164.65,8.738569,37.568573,13.202726,25.866348,4.379589,80.537674,9.0
20200320T2000,13.033722,76.0,1018.8,0.0,0.0,0.0,0.0,0.0,0.0,49.75,40.94,12.361075,37.11685,25.305208,39.805573,6.1094027,44.999985,17.64
20200320T2100,12.533722,76.0,1018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.498323,35.70668,20.570463,32.855713,8.39657,30.963745,18.359999
20200320T2200,11.883722,80.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.697868,40.03026,19.406637,40.485992,9.826088,28.442917,13.32
20200320T2300,11.973722,76.0,1018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36826,49.398697,16.563911,47.642548,11.4862,32.195724,11.5199995
20200321T0000,12.023722,76.0,1018.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,53.130096,16.992609,53.61563,13.246826,42.797394,10.799999
20200321T0100,11.363722,82.0,1018.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.387499,64.358986,18.193361,62.927917,13.044722,39.40065,12.24
20200321T0200,10.583722,84.0,1018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.897015,71.56504,14.658676,65.323135,12.261157,40.236343,11.159999
20200321T0300,9.693722,83.0,1018.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0374272,164.74487,4.802999,167.00539,4.2136917,70.016884,7.92
20200321T0400,9.203722,79.0,1018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332,180.0,2.16,180.0,3.219938,63.43495,2.52
20200321T0500,8.493722,78.0,1018.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332,126.869896,1.1384199,108.434944,3.8268526,41.18593,1.08
20200321T0600,8.003722,75.0,1017.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8837326,135.0,2.8116899,129.80557,5.3517847,47.726303,1.8
20200321T0700,7.563722,76.0,1017.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84243083,108.434944,1.4399999,89.99999,7.8954163,46.847595,1.8
