Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;12;17;17;00;10.76;76.00;1008.10;0.00;0.00;0.00;0.00;36.00;44.00;36.00;0.00;0.00;91.67;7.90;30.07;11.99;41.35;38.33;194.69;26.64
2019;12;17;18;00;9.98;80.00;1008.00;0.00;0.00;0.00;0.00;100.00;88.00;100.00;0.00;32.10;38.27;7.86;15.95;10.74;39.56;38.59;197.93;29.88
2019;12;17;19;00;10.23;77.00;1008.70;0.00;0.00;0.00;0.00;100.00;93.00;100.00;0.00;0.00;0.00;2.88;360.00;3.83;41.19;50.43;198.31;18.00
2019;12;17;20;00;10.31;74.00;1009.20;0.00;0.00;0.00;0.00;49.00;79.00;49.00;0.00;0.00;0.00;1.80;233.13;2.90;209.74;53.66;204.16;6.12
2019;12;17;21;00;10.27;70.00;1009.40;0.00;0.00;0.00;0.00;100.00;63.00;100.00;0.00;0.00;0.00;3.32;220.60;4.80;257.01;50.01;202.87;25.56
2019;12;17;22;00;10.11;68.00;1010.70;0.00;0.00;0.00;0.00;100.00;20.00;100.00;0.00;0.00;0.00;5.09;261.87;6.49;266.82;41.61;189.46;26.64
2019;12;17;23;00;10.18;67.00;1011.60;0.00;0.00;0.00;0.00;60.00;0.00;60.00;0.00;0.00;0.00;6.37;227.29;8.16;228.58;53.76;196.74;16.56
2019;12;18;00;00;11.38;58.00;1011.70;0.00;0.00;0.00;0.00;96.00;7.00;96.00;60.00;0.00;0.00;7.79;236.31;12.41;240.46;51.95;202.83;21.24
2019;12;18;01;00;10.30;64.00;1012.30;0.00;0.00;0.00;0.00;100.00;9.00;100.00;100.00;0.00;0.00;9.51;240.52;17.56;241.86;46.33;214.55;22.32
2019;12;18;02;00;10.07;67.00;1013.30;0.00;0.00;0.00;0.00;100.00;24.00;100.00;5.00;0.00;0.00;11.59;216.16;21.14;222.93;43.27;216.20;23.76
2019;12;18;03;00;10.05;69.00;1014.00;0.00;0.00;0.00;0.00;100.00;25.00;100.00;100.00;0.00;0.00;5.63;206.57;11.30;232.77;43.62;221.32;19.08
2019;12;18;04;00;9.48;74.00;1014.10;0.00;0.30;0.00;0.00;74.00;0.00;74.00;47.00;0.00;0.00;3.76;196.70;5.80;240.26;33.88;222.85;6.84
2019;12;18;05;00;9.25;75.00;1013.90;0.00;0.30;0.00;0.00;40.00;7.00;40.00;1.00;0.00;0.00;5.63;206.57;6.99;235.49;29.09;220.99;7.92
2019;12;18;06;00;9.18;75.00;1014.00;0.00;0.20;0.00;0.00;91.00;11.00;56.00;91.00;0.00;0.00;4.35;204.44;5.24;254.05;27.53;221.82;6.48
2019;12;18;07;00;9.12;74.00;1014.90;0.00;0.00;0.00;0.00;93.00;7.00;43.00;93.00;0.00;0.00;3.60;180.00;2.90;240.26;26.76;227.73;4.32
2019;12;18;08;00;9.38;72.00;1016.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;3.89;146.31;2.41;153.43;21.90;223.67;2.52
2019;12;18;09;00;9.36;72.00;1016.10;0.40;0.00;0.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;1.94;158.20;1.84;168.69;16.42;217.87;1.08
2019;12;18;10;00;9.17;78.00;1016.00;0.30;0.00;0.00;0.00;96.00;0.00;60.00;96.00;0.00;24.92;5.96;25.02;7.90;30.07;12.50;228.50;5.04
2019;12;18;11;00;9.94;82.00;1016.20;0.20;0.00;0.00;0.00;33.00;3.00;4.00;33.00;0.00;149.52;9.16;45.00;12.10;53.47;5.12;219.29;6.48
2019;12;18;12;00;11.45;81.00;1016.10;0.00;0.00;0.00;0.00;50.00;2.00;50.00;0.00;38.94;251.87;10.14;27.47;12.78;32.35;3.22;116.57;11.88
2019;12;18;13;00;12.16;80.00;1015.60;0.00;0.00;0.00;0.00;2.70;9.00;1.00;0.00;28.09;320.40;12.73;28.74;15.50;30.74;6.29;103.24;14.40
2019;12;18;14;00;12.11;78.00;1017.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.28;336.42;8.79;34.99;10.80;36.87;5.00;210.26;5.40
2019;12;18;15;00;12.57;76.00;1017.80;0.00;0.00;0.00;0.00;4.20;14.00;0.00;0.00;60.00;320.40;8.29;34.38;10.01;37.69;4.10;164.74;7.20
2019;12;18;16;00;12.73;74.00;1017.30;0.00;0.00;0.00;0.00;7.50;25.00;0.00;0.00;57.32;263.44;10.64;23.96;12.07;26.57;8.16;131.42;9.72
2019;12;18;17;00;12.28;77.00;1017.60;0.00;0.00;0.00;0.00;5.40;18.00;0.00;0.00;55.21;162.87;10.14;27.47;13.98;34.51;9.02;118.61;10.44
2019;12;18;18;00;11.64;77.00;1017.40;0.00;0.00;0.00;0.00;4.20;14.00;0.00;0.00;49.33;39.16;9.02;28.61;13.78;33.27;7.93;87.40;13.68
2019;12;18;19;00;11.39;77.00;1017.60;0.00;0.00;0.00;0.00;10.20;34.00;0.00;0.00;0.00;0.00;7.49;35.22;12.50;41.50;5.35;132.27;6.84
2019;12;18;20;00;10.90;81.00;1018.30;0.00;0.00;0.00;0.00;6.60;22.00;0.00;0.00;0.00;0.00;5.35;47.73;10.59;54.69;7.24;185.71;5.76
2019;12;18;21;00;10.50;84.00;1018.60;0.00;0.00;0.00;0.00;3.90;13.00;0.00;0.00;0.00;0.00;3.22;63.43;8.05;63.43;11.30;210.65;5.40
2019;12;18;22;00;10.03;86.00;1018.80;0.00;0.00;0.00;0.00;0.90;3.00;0.00;0.00;0.00;0.00;3.55;66.04;7.63;70.71;14.62;218.00;5.76
2019;12;18;23;00;9.64;87.00;1018.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.39;55.01;7.41;60.95;15.48;215.54;6.48
2019;12;19;00;00;9.49;85.00;1017.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.41;51.84;11.59;53.84;10.09;182.05;8.28
2019;12;19;01;00;9.32;82.00;1017.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.11;45.00;12.54;50.83;9.75;175.76;9.00
2019;12;19;02;00;9.10;82.00;1017.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.40;36.87;10.97;48.99;12.32;173.29;10.44
2019;12;19;03;00;8.76;86.00;1018.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.97;14.04;7.42;50.91;13.32;180.00;6.12
2019;12;19;04;00;8.34;87.00;1017.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.48;255.96;2.55;98.13;15.29;206.57;1.08
2019;12;19;05;00;7.16;91.00;1017.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.48;165.96;3.32;130.60;16.10;206.57;0.72
2019;12;19;06;00;6.50;84.00;1017.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.88;111.80;5.48;113.20;12.92;192.88;4.32
2019;12;19;07;00;6.29;74.00;1017.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.90;60.26;4.90;53.97;14.71;201.54;5.04
