Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2020;02;25;12;00;9.12;51.00;1013.60;0.60;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;114.81;26.16;235.65;32.78;238.93;49.76;234.13;39.24
2020;02;25;13;00;7.34;76.00;1012.20;0.70;0.50;0.00;0.00;100.00;100.00;100.00;100.00;0.00;169.99;30.30;203.82;38.02;204.62;49.83;232.63;35.28
2020;02;25;14;00;8.21;78.00;1011.40;0.50;1.10;0.00;0.00;100.00;57.00;100.00;100.00;0.00;161.98;21.77;214.22;28.06;213.49;39.25;222.03;33.12
2020;02;25;15;00;8.61;79.00;1010.50;0.40;1.10;0.00;0.00;100.00;0.00;1.00;100.00;0.00;249.20;28.17;206.57;34.30;205.49;46.43;228.77;35.28
2020;02;25;16;00;9.17;78.00;1009.70;0.00;0.80;0.00;0.00;35.00;0.00;0.00;35.00;0.00;289.25;30.27;205.35;36.55;206.31;45.92;228.81;37.08
2020;02;25;17;00;9.58;76.00;1009.20;0.00;0.50;0.00;0.00;63.00;0.00;0.00;63.00;37.66;272.34;28.22;203.29;34.65;203.90;42.55;222.60;32.40
2020;02;25;18;00;8.27;80.00;1008.60;0.00;0.50;0.00;0.00;8.00;0.00;0.00;8.00;19.79;107.69;27.14;201.80;37.91;202.91;48.08;219.53;34.20
2020;02;25;19;00;7.90;81.00;1007.80;0.00;0.40;0.00;0.00;100.00;0.00;0.00;100.00;15.44;1.78;27.11;210.31;39.70;210.52;56.77;224.74;42.84
2020;02;25;20;00;7.87;80.00;1007.50;0.00;0.00;0.00;0.00;81.00;0.00;0.00;81.00;0.00;0.00;29.46;218.55;39.87;219.87;56.67;243.60;42.48
2020;02;25;21;00;8.16;78.00;1007.80;0.50;0.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;25.92;244.50;35.63;251.75;50.84;259.80;37.44
2020;02;25;22;00;7.14;78.00;1008.50;0.00;1.50;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;27.16;255.41;37.92;257.94;53.10;265.33;37.08
2020;02;25;23;00;5.30;80.00;1009.40;0.00;1.60;0.00;0.00;22.00;0.00;0.00;22.00;0.00;0.00;28.51;245.38;39.31;249.08;58.96;261.57;38.52
2020;02;26;00;00;5.14;80.00;1009.30;0.00;1.40;0.00;0.00;87.00;0.00;0.00;87.00;0.00;0.00;29.57;238.44;39.62;241.81;56.05;255.87;39.60
2020;02;26;01;00;4.61;81.00;1009.50;0.00;1.40;0.00;0.00;100.00;0.00;3.00;100.00;0.00;0.00;28.28;227.58;38.40;231.09;52.34;248.20;39.96
2020;02;26;02;00;4.40;84.00;1008.90;0.20;1.20;0.00;0.00;100.00;0.00;64.00;100.00;0.00;0.00;26.74;226.64;36.51;229.40;49.94;248.43;41.04
2020;02;26;03;00;3.90;88.00;1008.40;0.70;1.90;0.00;0.00;100.00;0.00;52.00;100.00;0.00;0.00;28.36;236.92;37.84;242.22;50.81;262.67;41.76
2020;02;26;04;00;3.30;75.00;1009.10;0.10;1.70;0.00;1.19;29.00;0.00;0.00;29.00;0.00;0.00;25.50;256.94;35.75;260.73;49.35;272.09;41.04
2020;02;26;05;00;1.64;84.00;1008.60;0.00;0.70;0.00;0.49;0.00;0.00;0.00;0.00;0.00;0.00;20.93;243.43;30.97;252.41;45.72;270.45;34.20
2020;02;26;06;00;0.89;86.00;1008.70;0.00;0.60;0.00;0.42;0.00;0.00;0.00;0.00;0.00;0.00;21.64;225.67;31.35;235.76;47.15;262.98;33.48
2020;02;26;07;00;2.12;85.00;1007.10;0.00;0.50;0.00;0.35;100.00;0.00;100.00;100.00;0.00;0.00;26.55;220.60;33.60;225.00;54.08;252.17;44.28
2020;02;26;08;00;2.03;91.00;1006.70;0.50;1.10;0.35;0.77;100.00;0.00;100.00;100.00;0.00;11.57;33.17;244.27;41.09;245.68;59.42;268.61;41.76
2020;02;26;09;00;2.25;84.00;1007.60;0.00;1.80;0.00;1.26;100.00;0.00;100.00;100.00;0.00;80.99;36.78;273.37;44.01;273.75;60.78;285.11;42.48
2020;02;26;10;00;3.08;77.00;1008.40;0.00;1.80;0.00;1.26;73.00;0.00;72.00;73.00;0.00;145.07;34.75;283.17;39.56;283.15;50.89;288.56;42.12
2020;02;26;11;00;3.60;71.00;1008.80;0.00;0.90;0.00;0.63;5.00;0.00;0.00;5.00;13.40;453.90;34.33;279.66;38.24;278.66;46.39;282.09;39.24
2020;02;26;12;00;2.72;78.00;1009.30;0.00;0.70;0.00;0.49;100.00;0.00;100.00;100.00;56.81;339.09;30.63;267.31;34.27;266.39;41.40;270.00;36.00
2020;02;26;13;00;2.87;77.00;1008.80;0.30;0.70;0.21;0.49;59.00;0.00;59.00;59.00;0.00;155.75;37.58;279.37;43.63;280.94;55.16;291.04;49.32
2020;02;26;14;00;3.97;69.00;1009.90;0.30;1.20;0.00;0.84;31.00;0.00;5.00;31.00;22.34;363.12;23.14;285.33;25.86;286.16;33.70;293.28;48.96
2020;02;26;15;00;3.80;68.00;1010.90;0.00;1.30;0.00;0.91;16.00;0.00;0.00;16.00;40.21;360.45;33.17;297.12;38.00;297.05;46.75;299.53;45.00
2020;02;26;16;00;3.78;69.00;1011.80;0.00;0.70;0.00;0.49;13.00;0.00;0.00;13.00;49.79;333.75;32.24;293.70;37.77;292.41;48.14;297.14;41.40
2020;02;26;17;00;3.34;70.00;1012.60;0.00;0.60;0.00;0.42;0.00;0.00;0.00;0.00;51.70;266.11;31.91;293.96;38.53;293.69;53.10;300.56;39.96
2020;02;26;18;00;2.09;76.00;1013.70;0.00;0.50;0.00;0.35;0.00;0.00;0.00;0.00;60.00;113.03;26.64;288.92;35.53;289.54;53.13;296.57;38.52
2020;02;26;19;00;1.43;80.00;1013.70;0.00;0.70;0.00;0.49;0.00;0.00;0.00;0.00;18.31;2.67;24.38;286.29;33.01;288.43;55.06;296.40;35.64
2020;02;26;20;00;1.35;78.00;1014.20;0.00;1.00;0.00;0.70;0.00;0.00;0.00;0.00;0.00;0.00;24.93;287.65;34.63;290.70;60.20;300.55;38.16
2020;02;26;21;00;1.07;79.00;1015.50;0.00;0.70;0.00;0.49;0.00;0.00;0.00;0.00;0.00;0.00;21.57;284.50;31.08;288.23;57.41;303.49;34.56
2020;02;26;22;00;0.50;81.00;1016.30;0.00;0.70;0.00;0.49;0.00;0.00;0.00;0.00;0.00;0.00;16.98;274.86;26.28;283.47;54.53;305.05;29.52
2020;02;26;23;00;-0.05;84.00;1017.00;0.00;0.50;0.00;0.35;8.00;0.00;0.00;8.00;0.00;0.00;13.85;261.03;21.99;272.82;49.64;304.96;25.56
2020;02;27;00;00;-0.32;85.00;1017.30;0.00;0.40;0.00;0.28;26.00;0.00;10.00;26.00;0.00;0.00;14.17;242.78;21.43;262.28;42.83;303.69;24.84
2020;02;27;01;00;-0.23;84.00;1017.60;0.00;0.50;0.00;0.35;36.00;0.00;12.00;36.00;0.00;0.00;15.86;219.47;24.20;239.62;34.34;299.52;21.96
2020;02;27;02;00;-0.04;88.00;1017.40;0.00;0.20;0.00;0.14;71.00;0.00;8.00;71.00;0.00;0.00;13.04;207.98;18.20;204.54;25.44;206.93;22.68
2020;02;27;03;00;0.59;85.00;1016.90;0.00;0.10;0.00;0.07;50.00;4.00;4.00;50.00;0.00;0.00;15.46;207.76;20.63;209.25;32.06;214.94;23.76
2020;02;27;04;00;0.00;88.00;1016.20;0.00;0.00;0.00;0.00;8.00;7.00;8.00;3.00;0.00;0.00;15.38;196.31;25.62;197.16;32.19;216.36;24.84
2020;02;27;05;00;-0.77;89.00;1015.90;0.00;0.00;0.00;0.00;21.00;5.00;21.00;0.00;0.00;0.00;14.84;194.04;26.87;197.95;32.95;213.86;25.92
2020;02;27;06;00;-0.76;79.00;1015.40;0.00;0.00;0.00;0.00;20.00;2.00;20.00;0.00;0.00;0.00;13.85;188.97;26.98;193.11;34.15;212.52;24.12
2020;02;27;07;00;-0.59;74.00;1014.40;0.00;0.00;0.00;0.00;8.00;15.00;8.00;0.00;0.00;0.00;14.87;186.95;28.05;188.86;35.10;206.83;25.56
2020;02;27;08;00;0.80;63.00;1013.10;0.00;0.00;0.00;0.00;30.00;2.00;30.00;0.00;38.85;27.59;18.29;190.20;30.60;188.80;36.08;204.78;27.00
2020;02;27;09;00;3.12;47.00;1011.80;0.00;0.00;0.00;0.00;100.00;17.00;100.00;100.00;40.85;170.88;24.37;192.80;32.49;189.57;44.60;206.36;33.48
2020;02;27;10;00;4.67;43.00;1010.10;0.00;0.00;0.00;0.00;100.00;28.00;100.00;100.00;0.00;219.83;30.56;195.02;36.50;194.86;56.20;207.88;41.40
